season_id,model_id,origin,as_of,match_id,appearance,log_loss,brier,score_nll
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:swansea-city:preston-north-end,2,0.7461917051034043,0.4147814107571615,2.012973602070799
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:birmingham-city:swansea-city,3,1.3061658981676467,0.8139665391186356,2.2884701228081257
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:preston-north-end:stoke-city,3,1.361543112520462,0.8362363864417942,3.0105826340815716
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:west-bromwich-albion:queens-park-rangers,4,0.5693147930317419,0.28321722392956006,7.089553670992459
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:swansea-city:leeds-united,4,1.3839505929204907,0.886973661304437,3.201158226701436
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:stoke-city:wigan-athletic,4,1.5140643895468209,0.9613203901786733,4.441727431068321
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:middlesbrough:west-bromwich-albion,5,0.7991344024347309,0.4542571830909744,2.065517836568979
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:stoke-city:hull-city,5,0.7052256403466534,0.38506960849455296,2.557432213629906
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:swansea-city:bristol-city,5,1.4276057162180533,0.9002544139505751,2.5579635465317265
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:millwall:swansea-city,6,1.066243982445401,0.6494742550975223,2.6629499100254037
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:west-bromwich-albion:stoke-city,6,0.729630967523172,0.4024873067663861,2.4567841125680774
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:birmingham-city:west-bromwich-albion,7,1.3225242773667916,0.825818070820872,2.1128297559430935
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:sheffield-wednesday:stoke-city,7,1.379122314380854,0.8462590814796491,2.977204375592044
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:swansea-city:nottingham-forest,7,1.4069274547596922,0.915712067902873,2.430465542343535
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:stoke-city:swansea-city,8,0.9055593907276269,0.5348157651956437,2.232530918714372
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:west-bromwich-albion:bristol-city,8,0.6557033173434046,0.346995344890377,4.609951326438291
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:middlesbrough:swansea-city,9,1.3068579810764314,0.8143436672285732,2.280417080660582
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:stoke-city:blackburn-rovers,9,1.3599421158096099,0.8626450718561361,4.005552252358813
