season_id,model_id,origin,club_seasons,seasons,points_bias,points_rmse,promoted_club_seasons,promoted_points_bias,promoted_overpredicted,trps,points_crps,points_sd,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,title_brier,top_four_brier,relegation_brier
2023-2024,M4,MW30,20,1,-0.020509999999999806,4.610222223928041,3,3.6171666666666673,3,0.043876687460526316,2.580606445,3.7240773942187078,0.5,5.05,0.7,9.65,0.85,12.25,0.95,14.5,0.04723982825,0.022296763749999997,0.0055313529999999975
2023-2024,M4,MW6,20,1,0.6785200000000009,9.493374875301196,3,7.314233333333335,3,0.07711610969736843,5.481017881000002,8.827911874043362,0.55,11.95,0.7,22.7,0.85,29.05,1.0,34.45,0.013655194000000004,0.05548125525000001,0.041529027
2023-2024,M4,preseason,20,1,0.4056900000000002,10.48838590746927,3,13.375633333333333,3,0.08810318569736843,6.040484377,10.412965002387434,0.5,14.05,0.8,27.0,0.9,34.1,0.95,40.75,0.011370333000000007,0.06642012799999998,0.06591899500000001
2023-2024,M5,MW12,20,1,0.5734050000000016,7.63005871985924,3,6.376866666666666,3,0.06248491080263158,4.3223642795,7.529863189619087,0.55,10.2,0.75,19.45,0.8,24.85,1.0,29.3,0.010100602999999996,0.03946445375,0.020851490999999993
2023-2024,M5,MW19,20,1,0.34156499999999906,6.691562703397468,3,6.691799999999997,3,0.046971914671052634,3.824041156500003,6.092921166284739,0.55,8.25,0.7,15.55,0.9,20.05,0.95,23.75,0.025068625,0.016506749500000008,0.01831697625
2023-2024,M5,MW30,20,1,-0.04177999999999908,4.586055363708554,3,3.688799999999999,3,0.043219045210526316,2.580509339,3.6611919827366792,0.5,5.05,0.7,9.5,0.85,12.1,0.95,14.05,0.04301392575,0.024013694749999995,0.006576044749999993
2023-2024,M5,MW6,20,1,0.5963549999999997,8.980256846633065,3,8.991566666666666,3,0.07042434301315789,5.184044547500003,8.61813141236883,0.45,11.75,0.7,22.4,0.9,28.25,1.0,33.6,0.011351616000000005,0.05552406475000001,0.04314975175
2023-2024,M5,preseason,20,1,0.34235000000000043,10.474789324182133,3,15.400899999999998,3,0.08036657456578947,5.982375811,10.07522173407085,0.4,13.65,0.8,26.05,0.9,33.15,0.95,39.3,0.01004208,0.06619969425,0.06842168499999998
2023-2024,M7,MW12,20,1,0.6895399999999998,8.178408458006976,3,5.335166666666669,3,0.0684099129736842,4.655329552999997,7.223825340058696,0.5,9.9,0.7,18.6,0.85,23.95,0.9,28.0,0.010504712999999997,0.04279019175,0.010598808000000005
2023-2024,M7,MW19,20,1,0.4291550000000008,6.688515071561101,3,5.908533333333334,3,0.0465486727631579,3.8564659455000005,5.888602771205429,0.4,7.95,0.8,15.1,0.85,19.35,0.9,22.9,0.022748059999999994,0.010351220500000004,0.007298199000000001
2023-2024,M7,MW30,20,1,-0.012959999999999283,4.324825035767343,3,3.5723999999999996,3,0.040610338684210524,2.4244302070000012,3.5987524928426247,0.55,4.9,0.7,9.25,0.9,11.85,0.95,13.85,0.04487235925000001,0.02472022475,0.0033973230000000007
2023-2024,M7,MW6,20,1,0.82136,9.561585189548854,3,8.290866666666666,3,0.07565862864473683,5.549407402999999,8.318607149925347,0.35,11.3,0.75,21.35,0.85,27.35,0.95,32.6,0.014239827000000002,0.07322802399999999,0.037558308000000006
2023-2024,M7,preseason,20,1,0.5365300000000002,11.842761846123564,3,15.762299999999998,3,0.09433377292105266,6.9327698060000005,9.726960923727873,0.25,13.3,0.7,24.9,0.8,31.95,0.9,37.9,0.011813942250000006,0.094100129,0.07373361
